LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Lifetime Spayed Female,BOXER MIX,BRINDLE,STARLETTE,15131,2018,9/22/2008 13:23
Dog Senior Lifetime Neutered Male,AUS SHEPHERD,MULTI,TUCKER,15237,2018,1/28/2013 10:44
Dog Lifetime Neutered Male,HOUND MIX,BROWN,BASHFUL,15147,2018,9/10/2015 11:12
Dog Lifetime Male,SAMOYED,WHITE,TEDDY,15241,2018,1/13/2017 15:27
Dog Individual Female,LABRADOR RETRIEVER,WHITE,PHOEBE,15202,2018,7/31/2017 14:58
Dog Senior Lifetime Spayed Female,CHIHUAHUA,BLACK/BROWN,QUEEN TINY THE BANDIT,15102,2018,9/14/2017 15:57
Dog Individual Neutered Male,COCKAPOO,BROWN,CHARLEY,15236,2018,11/27/2017 9:57
Dog Senior Citizen or Disability Neutered Male,GER SHEPHERD,BLACK/BROWN,TACODA,15238,2018,11/27/2017 10:03
Dog Senior Citizen or Disability Male,BELG MALINOIS,BRINDLE,EICH,15238,2018,11/27/2017 10:03
Dog Individual Neutered Male,MIXED,BLACK/BROWN,ARROW,15104,2018,11/27/2017 10:04
Dog Individual Neutered Male,AM PIT BULL TERRIER,WHITE/BROWN,OAKLEY,15139,2018,11/27/2017 10:06
Dog Individual Neutered Male,SCOTTISH TERRIER,BLACK,BAILEY,15129,2018,11/27/2017 10:09
Dog Individual Spayed Female,YORKSHIRE TERRIER,BLACK/TAN,MIMI PEARL FOSTER,15090,2018,11/27/2017 10:12
Dog Individual Neutered Male,DACHSHUND MIX,WHITE/BROWN,LEROI,15238,2018,11/27/2017 10:16
Dog Individual Spayed Female,SHETLAND SHEEPDOG,WHITE/BROWN,ZOE VITSAS,15238,2018,11/27/2017 10:17
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,TAFFY,15228,2018,11/27/2017 15:37
Dog Individual Spayed Female,TERRIER MIX,WHITE/BROWN,WINNIE,15139,2018,
Dog Individual Neutered Male,BICHON FRISE,WHITE,DUDE,15238,2018,11/27/2017 10:29
Dog Individual Spayed Female,LHASA APSO MIX,WHITE/BROWN,CHICKIE,15238,2018,11/27/2017 10:29
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,BLONDE,BUSTER,15108,2018,
Dog Individual Spayed Female,AM PITT BULL MIX,WHITE,EMILY,15108,2018,
Dog Individual Neutered Male,AM PITT BULL MIX,BROWN,KING,15235,2018,11/27/2017 10:32
Dog Individual Spayed Female,AM PITT BULL MIX,WHITE,EMILY,15108,2018,11/27/2017 11:46
Dog Individual Spayed Female,BRITTANY SPANIEL,WHITE/BROWN,ELLIE,15228,2018,11/27/2017 15:37
Dog Individual Male,MIXED,WHITE,RUSTY,15120,2018,11/27/2017 15:37
Dog Individual Spayed Female,TERRIER MIX,SPOTTED,ANNIE,15239,2018,11/27/2017 15:37
Dog Individual Spayed Female,COCKER SPANIEL,BLONDE,JUILET,15214,2018,11/27/2017 10:42
Dog Individual Neutered Male,COCKER SPANIEL,BLACK,ROMEO,15214,2018,11/27/2017 10:42
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,LOLA,15235,2018,11/27/2017 11:46
Dog Individual Neutered Male,LAB MIX,BLACK,ABE,15218,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,LOLA,15235,2018,11/27/2017 11:46
Dog Individual Spayed Female,HAVANESE,WHITE,MAGGIE,15237,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Male,YORKSHIRE TERRIER,WHITE/BLACK/BROWN,BUDDY,15018,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,AKITA,BLACK/BROWN,PRINCESS,15025,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,BEAGLE MIX,BROWN,"CHRISTINA ""TINA""",15025,2018,11/27/2017 15:37
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,LOLA,15235,2018,
Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,SABLE,15131,2018,
Dog Individual Neutered Male,DOBERMAN MIX,BLACK,HOWIE,15239,2018,11/27/2017 16:09
Dog Senior Citizen or Disability Spayed Female,MALTESE,WHITE,LOLA,15235,2018,
Dog Individual Spayed Female,MIXED,BLACK,HAPPY,15017,2018,11/27/2017 11:05
Dog Individual Neutered Male,MIXED,WHITE/BLACK/BROWN,GRIFF,15015,2018,
Dog Senior Citizen or Disability Spayed Female,SHIH TZU,WHITE/TAN,LILLY,15137,2018,11/27/2017 11:07
Dog Individual Spayed Female,MIXED,WHITE/BLACK,SHADOE,15045,2018,11/27/2017 11:08
Dog Individual Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,SABLE,15131,2018,11/27/2017 16:03
